timestamp,seconds,load
2025-02-20 00:00:00,0,25071.538360130893
2025-02-20 00:00:01,1,24336.28447156405
2025-02-20 00:00:02,2,25373.274497680773
2025-02-20 00:00:03,3,25525.524873894195
2025-02-20 00:00:04,4,24328.262020254002
2025-02-20 00:00:05,5,24512.400316655618
2025-02-20 00:00:06,6,24743.18736162571
2025-02-20 00:00:07,7,25196.740005388612
2025-02-20 00:00:08,8,25258.192390850934
2025-02-20 00:00:09,9,25972.085670849545
2025-02-20 00:00:10,10,25009.37386573502
2025-02-20 00:00:11,11,25944.61404603791
2025-02-20 00:00:12,12,24773.484589802796
2025-02-20 00:00:13,13,24345.23576091713
2025-02-20 00:00:14,14,24544.178374151787
2025-02-20 00:00:15,15,24984.111448741005
2025-02-20 00:00:16,16,24771.107225181677
2025-02-20 00:00:17,17,23844.20774591815
2025-02-20 00:00:18,18,25205.38332666235
2025-02-20 00:00:19,19,25723.617835261342
2025-02-20 00:00:20,20,24641.22350826445
2025-02-20 00:00:21,21,26265.318784467174
2025-02-20 00:00:22,22,25192.953057709263
2025-02-20 00:00:23,23,25614.470807491427
2025-02-20 00:00:24,24,25179.85845669867
2025-02-20 00:00:25,25,24631.782575370435
2025-02-20 00:00:26,26,24482.965289958665
2025-02-20 00:00:27,27,25125.150413317202
2025-02-20 00:00:28,28,24686.623530320445
2025-02-20 00:00:29,29,25415.750590006126
2025-02-20 00:00:30,30,24939.113217428476
2025-02-20 00:00:31,31,24600.298566709178
2025-02-20 00:00:32,32,25391.932695308948
2025-02-20 00:00:33,33,25932.000678997145
2025-02-20 00:00:34,34,25051.962797040585
2025-02-20 00:00:35,35,24923.132541211362
2025-02-20 00:00:36,36,25057.454511497494
2025-02-20 00:00:37,37,25398.348112792202
2025-02-20 00:00:38,38,25546.17533385488
2025-02-20 00:00:39,39,26142.93802837044
2025-02-20 00:00:40,40,24941.399896194474
2025-02-20 00:00:41,41,23939.133298499048
2025-02-20 00:00:42,42,25323.279729611386
2025-02-20 00:00:43,43,25023.873122665664
2025-02-20 00:00:44,44,24954.983508286325
2025-02-20 00:00:45,45,24719.14879816724
2025-02-20 00:00:46,46,24966.160756840232
2025-02-20 00:00:47,47,24289.04818032802
2025-02-20 00:00:48,48,25902.739452549795
2025-02-20 00:00:49,49,24833.115513820587
2025-02-20 00:00:50,50,23215.027849377668
2025-02-20 00:00:51,51,23492.398640268
2025-02-20 00:00:52,52,24892.15546289975
2025-02-20 00:00:53,53,24946.079133300293
2025-02-20 00:00:54,54,25809.10948323492
2025-02-20 00:00:55,55,25310.704496048682
2025-02-20 00:00:56,56,24612.64944853971
2025-02-20 00:00:57,57,24801.999204160016
2025-02-20 00:00:58,58,25730.532869332834
2025-02-20 00:00:59,59,25279.67245199722
2025-02-20 00:01:00,60,25845.428107436135
2025-02-20 00:01:01,61,24444.73114798589
2025-02-20 00:01:02,62,24221.509027509623
2025-02-20 00:01:03,63,25350.507709289435
2025-02-20 00:01:04,64,25551.173197546246
